#  #1,  #2,  #3,  #4 
0.00,-0.49,-0.49,0.00
0.00,1.98,-0.55,-0.49
0.00,-0.36,18.10,-0.49
0.00,-0.36,74.64,0.00
0.00,22.27,123.32,5.05
0.00,0.00,4.22,58.86
-0.49,-0.59,-0.49,0.00
-0.48,20.39,-0.49,-0.49
-0.36,99.45,1.49,-0.39
-0.36,35.85,205.72,6.28
55.75,1.97,0.54,158.22
-0.59,0.00,-0.59,47.36
-0.49,60.56,-0.59,0.00
2.21,159.91,20.26,-0.36
-0.20,207.96,6.78,20.20
264.26,81.01,92.37,160.26
-0.20,-0.20,-0.20,155.09
-0.49,0.00,-0.59,54.50
10.08,-0.49,0.00,0.00
119.72,6.77,0.00,-0.39
61.17,-0.36,0.00,24.12
90.36,-0.36,0.00,-0.20
-0.36,-0.49,0.00,9.31
-0.49,0.00,0.00,-0.59
