#  #1,  #2,  #3,  #4 
0.00,-0.49,-0.49,0.00
0.00,0.72,-0.55,-0.49
0.00,-0.36,10.03,-0.49
0.00,-0.36,74.64,0.00
0.00,22.27,116.92,5.05
0.00,0.00,4.22,58.86
-0.49,-0.59,-0.49,0.00
-0.49,9.02,-0.49,-0.49
-0.36,40.53,1.49,-0.39
-0.36,13.92,197.18,0.00
45.62,1.97,0.54,152.33
-0.59,0.00,-0.59,47.36
-0.49,57.89,-0.59,0.00
-0.04,90.33,0.84,-0.36
-0.20,140.15,6.78,20.20
253.64,51.00,68.25,135.16
-0.20,-0.20,-0.20,42.94
-0.49,0.00,-0.59,-0.20
1.27,-0.49,0.00,0.00
20.99,-0.49,0.00,-0.49
46.04,-0.36,0.00,-0.36
23.59,-0.20,0.00,-0.20
-0.36,-0.49,0.00,-0.20
-0.49,0.00,0.00,-0.59
