#  #1,  #2,  #3,  #4 
0.00,0.00,0.00,0.00
0.00,-0.36,0.00,0.00
0.00,-0.52,-0.65,-0.20
0.00,-0.49,5.16,-0.49
0.00,0.00,-0.65,-0.49
0.00,0.00,-0.49,-0.20
0.00,0.00,0.00,0.00
-0.20,-0.24,0.00,0.00
-0.36,3.27,-0.36,-0.36
-0.36,-0.39,32.85,-0.20
-0.36,-0.36,-0.36,0.35
-0.59,0.00,-0.20,-0.23
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
-0.20,3.00,-0.20,0.00
83.18,0.00,0.00,20.48
-0.20,0.00,0.00,0.00
-0.20,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
-0.20,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
