#  #1,  #2,  #3,  #4 
0.00,0.00,0.00,0.00
0.00,-0.36,0.00,0.00
0.00,5.02,0.87,-0.20
0.00,-0.49,20.96,-0.03
0.00,0.00,-0.65,-0.49
0.00,0.00,-0.49,-0.20
0.00,0.00,0.00,0.00
-0.20,-0.24,0.00,0.00
-0.36,14.01,-0.36,-0.36
-0.36,-0.46,62.97,-0.20
-0.36,-0.36,-0.36,7.22
-0.59,0.00,-0.20,-0.23
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
-0.20,3.00,-0.20,0.00
119.26,20.00,0.00,20.48
-0.20,0.00,0.00,0.00
-0.20,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
-0.20,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
