#  #1,  #2,  #3,  #4 
0.00,-0.20,-0.20,0.00
0.00,-0.36,-0.20,-0.20
0.00,14.68,0.87,-0.36
0.00,-0.49,41.96,-0.03
0.00,0.00,-0.65,-0.49
0.00,0.00,-0.49,-0.20
-0.20,0.00,0.00,0.00
-0.20,5.99,0.00,0.00
-0.36,30.36,-0.36,0.21
-0.36,-0.46,90.81,3.01
-0.36,-0.36,-0.36,7.22
-0.59,0.00,-0.20,-0.23
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
-0.20,3.00,-0.20,0.00
140.94,20.00,20.00,36.86
-0.20,0.00,0.00,0.00
-0.20,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
-0.20,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
