#  #1,  #2,  #3,  #4 
0.00,0.00,-0.20,0.00
0.00,-0.36,-0.36,0.00
0.00,-0.36,0.30,-0.49
0.00,-0.36,5.20,0.00
0.00,-0.49,-0.58,0.00
0.00,0.00,-0.49,-0.49
-0.20,-0.23,-0.20,0.00
-0.20,-0.37,-0.49,-0.20
-0.36,5.57,-0.20,-0.39
-0.36,-0.39,38.19,0.00
-0.36,-0.20,-0.20,2.98
-0.49,0.00,-0.59,0.00
-0.20,-0.20,0.00,0.00
-0.39,-0.20,-0.20,-0.20
-0.20,11.56,0.00,-0.20
98.53,0.00,0.00,20.00
-0.20,-0.20,-0.20,5.63
-0.49,0.00,-0.59,-0.20
0.00,0.00,0.00,0.00
0.00,-0.20,0.00,0.00
-0.20,0.00,0.00,0.00
0.00,0.00,0.00,0.00
-0.36,-0.49,0.00,0.00
-0.49,0.00,0.00,-0.59
