#  #1,  #2,  #3,  #4 
0.00,-0.36,0.78,0.00
0.00,-0.74,-0.97,-0.49
0.00,-0.49,28.82,-0.86
0.00,11.96,154.94,2.89
0.00,4.50,3.97,96.07
0.00,0.00,5.69,47.78
-0.49,-0.58,17.03,0.00
-0.59,-0.61,22.52,-0.49
-0.49,15.44,85.56,-0.52
57.42,16.94,213.96,18.75
21.74,36.28,18.99,168.81
18.18,0.00,28.24,132.80
-0.49,79.13,-0.10,0.00
-0.41,157.12,12.31,20.74
25.66,203.81,0.00,68.64
270.02,110.31,66.51,106.96
-0.20,-0.36,-0.20,140.90
103.91,0.00,-0.83,15.69
5.25,0.00,0.00,0.00
115.32,-0.20,0.00,0.64
18.36,0.00,0.00,0.00
55.58,0.00,0.00,0.00
-0.36,-0.59,0.00,3.15
-0.59,0.00,0.00,-0.45
