#  #1,  #2,  #3,  #4 
0.00,-0.36,0.78,0.00
0.00,-0.74,-0.97,-0.49
0.00,-0.49,28.82,-0.86
0.00,11.96,162.81,2.89
0.00,4.50,3.97,106.25
0.00,0.00,5.69,53.40
-0.49,-0.58,17.03,0.00
-0.59,-0.61,22.52,-0.49
-0.49,15.44,85.56,-0.52
71.45,16.94,215.52,18.75
33.42,61.39,18.99,170.29
25.94,0.00,39.15,134.53
-0.49,79.13,-0.10,0.00
-0.41,157.12,12.31,20.74
25.66,203.81,0.00,68.64
271.53,110.31,117.06,138.18
-0.20,16.14,-0.20,167.89
105.77,0.00,-0.86,52.65
5.25,0.00,0.00,0.00
115.32,-0.20,0.00,0.64
18.36,0.00,0.00,0.00
87.62,0.00,0.00,0.00
-0.36,-0.59,0.00,11.21
-0.59,0.00,0.00,-0.06
