#  #1,  #2,  #3,  #4 
0.00,-0.36,0.78,0.00
0.00,-0.74,-0.97,-0.49
0.00,-0.49,28.82,-0.86
0.00,11.96,164.53,2.89
0.00,4.50,3.97,110.85
0.00,0.00,5.69,59.52
-0.49,-0.58,17.03,0.00
-0.59,-0.61,22.52,-0.49
-0.49,15.44,100.86,-0.52
71.45,16.94,215.87,28.49
33.42,61.39,41.85,170.77
29.10,0.00,39.15,134.91
-0.49,79.13,-0.10,0.00
-0.41,157.12,12.31,20.74
25.66,206.39,0.00,68.64
272.26,110.31,117.06,138.18
-0.20,16.14,-0.20,177.61
106.33,0.00,-0.89,52.65
5.25,0.00,0.00,0.00
115.32,-0.20,0.00,0.64
18.36,0.00,0.00,0.00
113.34,0.00,0.00,0.00
-0.36,-0.59,0.00,22.79
-0.59,0.00,0.00,1.55
