#  #1,  #2,  #3,  #4 
0.00,-0.36,0.78,0.00
0.00,-0.74,-0.97,-0.49
0.00,-0.49,28.82,-0.86
0.00,11.96,158.08,2.89
0.00,4.50,3.97,101.45
0.00,0.00,5.69,53.40
-0.49,-0.58,17.03,0.00
-0.59,-0.61,22.52,-0.49
-0.49,15.44,85.56,-0.52
57.42,16.94,214.74,18.75
21.74,50.11,18.99,169.56
21.99,0.00,39.15,133.65
-0.49,79.13,-0.10,0.00
-0.41,157.12,12.31,20.74
25.66,203.81,0.00,68.64
270.98,110.31,66.51,138.18
-0.20,16.14,-0.20,155.81
105.13,0.00,-0.83,34.90
5.25,0.00,0.00,0.00
115.32,-0.20,0.00,0.64
18.36,0.00,0.00,0.00
55.58,0.00,0.00,0.00
-0.36,-0.59,0.00,3.15
-0.59,0.00,0.00,-0.45
