#  #1,  #2,  #3,  #4 
0.00,-0.36,3.15,0.00
0.00,-0.74,-0.97,-0.47
0.00,-0.49,28.82,-0.86
0.00,11.96,167.46,2.89
0.00,4.50,3.97,110.85
0.00,0.00,5.69,59.52
-0.49,-0.58,26.08,0.00
-0.67,-0.61,22.52,-0.49
-0.49,46.82,100.86,2.99
93.01,16.94,217.53,46.92
33.42,78.13,78.86,172.60
32.60,0.00,48.30,136.72
-0.49,88.24,-0.10,0.00
-0.41,158.52,12.31,20.74
25.66,210.26,0.00,68.64
273.64,159.03,117.06,164.19
-0.20,29.92,-0.20,185.60
108.02,0.00,0.02,52.65
5.25,0.00,0.00,0.00
115.32,-0.20,0.00,0.64
47.84,0.00,0.00,0.00
134.12,0.00,0.00,2.74
-0.36,-0.59,0.00,50.20
-0.59,0.00,0.00,9.34
